Conference,Division,Losses,Points_against,Points_for,Points_rank,Season_Type,Season_Year,Team_ID,Team_Name,Ties,Touchdown_diff,Win_pct,Wins
NFC,NFC East,12,438,301,55,REG,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,-20,0.25,4
NFC,NFC North,4,348,486,14,REG,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,18,0.75,12
NFC,NFC North,5,282,321,25,REG,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,3,0.688,11
NFC,NFC North,9,343,325,31,REG,2014,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,-3,0.43799999999999994,7
NFC,NFC North,11,442,319,54,REG,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-9,0.313,5
NFC,NFC South,8,374,339,40,REG,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,1,-8,0.469,7
NFC,NFC South,9,424,401,37,REG,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,2,0.43799999999999994,7
NFC,NFC South,10,417,381,39,REG,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,-4,0.375,6
NFC,NFC South,14,410,277,54,REG,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-15,0.125,2
NFC,NFC West,4,254,394,11,REG,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,16,0.75,12
NFC,NFC West,5,299,310,29,REG,2014,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,0,0.688,11
NFC,NFC West,8,340,306,35,REG,2014,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-7,0.5,8
NFC,NFC West,10,354,324,37,REG,2014,39f349de-6463-4803-ad70-f1e0f144f5ed,Rams,0,-4,0.375,6
AFC,AFC East,4,315,465,13,REG,2015,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,16,0.75,12
AFC,AFC East,10,389,310,46,REG,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,-7,0.375,6
AFC,AFC East,6,314,387,20,REG,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,10,0.625,10
AFC,AFC East,8,359,379,27,REG,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,3,0.5,8
AFC,AFC North,6,319,423,15,REG,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,0,10,0.625,10
AFC,AFC North,13,432,278,59,REG,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,0,-21,0.188,3
AFC,AFC North,4,279,419,9,REG,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,0,21,0.75,12
AFC,AFC North,11,401,328,49,REG,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,-12,0.313,5
AFC,AFC South,7,313,339,28,REG,2015,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,2,0.563,9
AFC,AFC South,13,423,299,55,REG,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,-14,0.188,3
AFC,AFC South,11,448,376,45,REG,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,-7,0.313,5
AFC,AFC South,8,408,333,49,REG,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,-10,0.5,8
AFC,AFC West,12,398,320,47,REG,2015,9dbb9060-ba0f-4920-829e-16d4d9246b5d,Chargers,0,-9,0.25,4
AFC,AFC West,9,399,359,39,REG,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,1,0.43799999999999994,7
AFC,AFC West,4,296,355,23,REG,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,6,0.75,12
AFC,AFC West,5,287,405,12,REG,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,11,0.688,11
NFC,NFC East,7,379,388,27,REG,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,0,0.563,9
NFC,NFC East,10,442,420,36,REG,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,-3,0.375,6
NFC,NFC East,12,374,275,47,REG,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,-15,0.25,4
NFC,NFC East,9,430,377,41,REG,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,-5,0.43799999999999994,7
NFC,NFC North,9,400,358,41,REG,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,-5,0.43799999999999994,7
NFC,NFC North,10,397,335,43,REG,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-13,0.375,6
NFC,NFC North,6,323,368,27,REG,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,6,0.625,10
NFC,NFC North,5,302,365,21,REG,2015,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,7,0.688,11
NFC,NFC South,10,417,342,46,REG,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-10,0.375,6
NFC,NFC South,9,476,408,40,REG,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,-8,0.43799999999999994,7
NFC,NFC South,8,345,339,35,REG,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,-3,0.5,8
NFC,NFC South,1,308,500,7,REG,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,0,24,0.938,15
NFC,NFC West,3,313,489,9,REG,2015,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,24,0.813,13
NFC,NFC West,6,277,423,5,REG,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,21,0.625,10
NFC,NFC West,11,387,238,50,REG,2015,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-19,0.313,5
NFC,NFC West,9,330,280,42,REG,2015,39f349de-6463-4803-ad70-f1e0f144f5ed,Rams,0,-1,0.43799999999999994,7
AFC,AFC East,2,250,441,4,REG,2016,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,24,0.875,14
AFC,AFC East,6,380,363,35,REG,2016,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,2,0.625,10
AFC,AFC East,9,378,399,26,REG,2016,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,8,0.43799999999999994,7
AFC,AFC East,11,409,275,58,REG,2016,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,-19,0.313,5
AFC,AFC North,5,327,399,20,REG,2016,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,0,11,0.688,11
AFC,AFC North,8,321,343,30,REG,2016,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,-7,0.5,8
AFC,AFC North,9,315,325,32,REG,2016,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,1,1,0.406,6
AFC,AFC North,15,452,264,61,REG,2016,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,0,-27,0.063,1
AFC,AFC South,7,328,279,39,REG,2016,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,-11,0.563,9
AFC,AFC South,7,378,381,30,REG,2016,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,3,0.563,9
AFC,AFC South,8,392,411,30,REG,2016,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,5,0.5,8
AFC,AFC South,13,400,318,50,REG,2016,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,-7,0.188,3
AFC,AFC West,4,311,389,20,REG,2016,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,8,0.75,12
AFC,AFC West,4,385,416,27,REG,2016,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,1,0.75,12
AFC,AFC West,7,297,333,26,REG,2016,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,5,0.563,9
AFC,AFC West,11,423,410,38,REG,2016,9dbb9060-ba0f-4920-829e-16d4d9246b5d,Chargers,0,2,0.313,5
NFC,NFC East,3,306,421,10,REG,2016,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,15,0.813,13
NFC,NFC East,5,284,310,28,REG,2016,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,10,0.688,11
NFC,NFC East,7,383,396,31,REG,2016,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,1,-2,0.531,8
NFC,NFC East,9,331,367,28,REG,2016,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,1,0.43799999999999994,7
NFC,NFC North,6,388,432,25,REG,2016,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,6,0.625,10
NFC,NFC North,7,358,346,33,REG,2016,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,-6,0.563,9
NFC,NFC North,8,307,327,29,REG,2016,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,4,0.5,8
NFC,NFC North,13,399,279,52,REG,2016,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-11,0.188,3
NFC,NFC South,5,406,540,28,REG,2016,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,15,0.688,11
NFC,NFC South,7,369,354,33,REG,2016,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,0,0.563,9
NFC,NFC South,9,454,469,33,REG,2016,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,4,0.43799999999999994,7
NFC,NFC South,10,402,369,41,REG,2016,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,0,-3,0.375,6
NFC,NFC West,5,292,354,21,REG,2016,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,1,4,0.6559999999999999,10
NFC,NFC West,8,362,418,20,REG,2016,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,1,10,0.469,7
NFC,NFC West,12,394,224,55,REG,2016,2eff2a03-54d4-46ba-890e-2bc3925548f3,Rams,0,-26,0.25,4
NFC,NFC West,14,480,309,59,REG,2016,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-20,0.125,2
AFC,AFC East,3,296,458,7,REG,2017,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,16,0.813,13
AFC,AFC East,7,359,302,40,REG,2017,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,-7,0.563,9
AFC,AFC East,10,393,281,57,REG,2017,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,-14,0.375,6
AFC,AFC East,11,382,298,46,REG,2017,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,-14,0.313,5
AFC,AFC North,3,308,406,15,REG,2017,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,0,7,0.813,13
AFC,AFC North,7,303,395,15,REG,2017,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,10,0.563,9
AFC,AFC North,9,349,290,42,REG,2017,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,0,-1,0.43799999999999994,7
AFC,AFC North,16,410,234,63,REG,2017,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,0,-21,0.0,0
AFC,AFC South,6,268,417,7,REG,2017,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,18,0.625,10
AFC,AFC South,7,356,334,36,REG,2017,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,-3,0.563,9
AFC,AFC South,12,404,263,60,REG,2017,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,-19,0.25,4
AFC,AFC South,12,436,338,49,REG,2017,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,-8,0.25,4
AFC,AFC West,6,339,415,21,REG,2017,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,3,0.625,10
AFC,AFC West,7,272,355,16,REG,2017,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,Chargers,0,14,0.563,9
AFC,AFC West,10,373,301,43,REG,2017,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,-3,0.375,6
AFC,AFC West,11,382,289,49,REG,2017,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,-13,0.313,5
NFC,NFC East,3,295,457,7,REG,2017,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,19,0.813,13
NFC,NFC East,7,332,354,27,REG,2017,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,2,0.563,9
NFC,NFC East,9,388,342,43,REG,2017,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,-2,0.43799999999999994,7
NFC,NFC East,13,388,246,58,REG,2017,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,-16,0.188,3
NFC,NFC North,3,252,382,11,REG,2017,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,17,0.813,13
NFC,NFC North,7,376,410,28,REG,2017,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,2,0.563,9
NFC,NFC North,9,384,320,47,REG,2017,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,-2,0.43799999999999994,7
NFC,NFC North,11,320,264,38,REG,2017,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-2,0.313,5
NFC,NFC South,5,326,448,14,REG,2017,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,15,0.688,11
NFC,NFC South,5,327,363,23,REG,2017,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,0,6,0.688,11
NFC,NFC South,6,315,353,23,REG,2017,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,3,0.625,10
NFC,NFC South,11,382,335,40,REG,2017,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-6,0.313,5
NFC,NFC West,5,329,478,13,REG,2017,2eff2a03-54d4-46ba-890e-2bc3925548f3,Rams,0,13,0.688,11
NFC,NFC West,7,332,366,24,REG,2017,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,9,0.563,9
NFC,NFC West,8,361,295,44,REG,2017,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,-12,0.5,8
NFC,NFC West,10,383,331,45,REG,2017,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-11,0.375,6
AFC,AFC East,5,325,436,11,REG,2018,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,15,0.688,11
AFC,AFC East,9,433,319,53,REG,2018,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,-14,0.43799999999999994,7
AFC,AFC East,10,374,269,48,REG,2018,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,-15,0.375,6
AFC,AFC East,12,441,333,52,REG,2018,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,-15,0.25,4
AFC,AFC North,6,287,389,15,REG,2018,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,8,0.625,10
AFC,AFC North,6,360,428,22,REG,2018,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,1,12,0.594,9
AFC,AFC North,8,392,359,41,REG,2018,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,1,1,0.469,7
AFC,AFC North,10,455,368,47,REG,2018,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,0,-6,0.375,6
AFC,AFC South,5,316,402,15,REG,2018,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,6,0.688,11
AFC,AFC South,6,344,433,15,REG,2018,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,15,0.625,10
AFC,AFC South,7,303,310,30,REG,2018,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,2,0.563,9
AFC,AFC South,11,316,245,35,REG,2018,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,-9,0.313,5
AFC,AFC West,4,421,565,25,REG,2018,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,20,0.75,12
AFC,AFC West,4,329,428,14,REG,2018,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,Chargers,0,13,0.75,12
AFC,AFC West,10,349,329,37,REG,2018,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,0,0.375,6
AFC,AFC West,12,467,290,60,REG,2018,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,-26,0.25,4
NFC,NFC East,6,324,339,28,REG,2018,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,1,0.625,10
NFC,NFC East,7,348,367,30,REG,2018,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,4,0.563,9
NFC,NFC East,9,359,281,44,REG,2018,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,-14,0.43799999999999994,7
NFC,NFC East,11,412,369,39,REG,2018,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,-6,0.313,5
NFC,NFC North,4,283,421,10,REG,2018,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,20,0.75,12
NFC,NFC North,7,341,360,28,REG,2018,33405046-04ee-4058-a950-d606f8c30852,Vikings,1,8,0.531,8
NFC,NFC North,9,400,376,36,REG,2018,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,1,-6,0.406,6
NFC,NFC North,10,360,324,41,REG,2018,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,-9,0.375,6
NFC,NFC South,3,353,504,17,REG,2018,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,17,0.813,13
NFC,NFC South,9,423,414,35,REG,2018,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,-3,0.43799999999999994,7
NFC,NFC South,9,382,376,33,REG,2018,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,0,0,0.43799999999999994,7
NFC,NFC South,11,464,396,43,REG,2018,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-8,0.313,5
NFC,NFC West,3,384,527,22,REG,2018,2eff2a03-54d4-46ba-890e-2bc3925548f3,Rams,0,16,0.813,13
NFC,NFC West,6,347,428,17,REG,2018,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,13,0.625,10
NFC,NFC West,12,435,342,49,REG,2018,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-17,0.25,4
NFC,NFC West,13,425,225,58,REG,2018,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,-23,0.188,3
